DATE,RMIDVLTR
2013-11-11,2511.56
2013-11-12,2502.65
2013-11-13,2524.15
2013-11-14,2538.51
2013-11-15,2547.62
2013-11-18,2529.99
2013-11-19,2515.17
2013-11-20,2505.16
2013-11-21,2528.12
2013-11-22,2536.12
2013-11-25,2530.51
2013-11-26,2527.20
2013-11-27,2534.12
2013-11-28,.
2013-11-29,2527.17
2013-12-02,2523.24
2013-12-03,2515.44
2013-12-04,2515.38
2013-12-05,2506.23
2013-12-06,2533.51
2013-12-09,2537.65
2013-12-10,2532.48
2013-12-11,2493.79
2013-12-12,2492.38
2013-12-13,2495.97
2013-12-16,2513.44
2013-12-17,2512.88
2013-12-18,2543.86
2013-12-19,2534.66
2013-12-20,2555.75
2013-12-23,2568.90
2013-12-24,2579.66
2013-12-25,.
2013-12-26,2583.34
2013-12-27,2585.91
2013-12-30,2587.82
2013-12-31,2596.38
2014-01-01,.
2014-01-02,2569.86
2014-01-03,2573.95
2014-01-06,2566.86
2014-01-07,2584.13
2014-01-08,2591.22
2014-01-09,2595.32
2014-01-10,2610.13
2014-01-13,2579.54
2014-01-14,2604.93
2014-01-15,2615.57
2014-01-16,2613.17
2014-01-17,2604.76
2014-01-20,.
2014-01-21,2619.56
2014-01-22,2630.28
2014-01-23,2605.64
2014-01-24,2545.53
2014-01-27,2531.70
2014-01-28,2555.23
2014-01-29,2534.57
2014-01-30,2563.38
2014-01-31,2552.58
2014-02-03,2487.06
2014-02-04,2509.22
2014-02-05,2505.64
2014-02-06,2536.33
2014-02-07,2562.55
2014-02-10,2567.76
2014-02-11,2591.81
2014-02-12,2596.16
2014-02-13,2615.42
2014-02-14,2628.70
2014-02-17,.
2014-02-18,2646.62
2014-02-19,2633.55
2014-02-20,2652.26
2014-02-21,2654.49
2014-02-24,2670.96
2014-02-25,2666.64
2014-02-26,2671.04
2014-02-27,2681.10
2014-02-28,2690.40
2014-03-03,2672.89
2014-03-04,2711.27
2014-03-05,2707.53
2014-03-06,2710.69
2014-03-07,2711.49
2014-03-10,2701.44
2014-03-11,2687.34
2014-03-12,2691.61
2014-03-13,2666.98
2014-03-14,2673.04
2014-03-17,2690.90
2014-03-18,2711.77
2014-03-19,2695.47
2014-03-20,2708.44
2014-03-21,2711.90
2014-03-24,2697.89
2014-03-25,2707.70
2014-03-26,2682.46
2014-03-27,2679.50
2014-03-28,2698.62
2014-03-31,2731.92
2014-04-01,2750.42
2014-04-02,2759.01
2014-04-03,2756.29
2014-04-04,2728.55
2014-04-07,2692.61
2014-04-08,2707.83
2014-04-09,2730.80
2014-04-10,2677.66
2014-04-11,2649.15
2014-04-14,2668.01
2014-04-15,2686.63
2014-04-16,2713.94
2014-04-17,2716.03
2014-04-18,.
2014-04-21,2724.51
2014-04-22,2739.22
2014-04-23,2741.55
2014-04-24,2746.30
2014-04-25,2722.42
2014-04-28,2717.69
2014-04-29,2726.89
2014-04-30,2743.24
2014-05-01,2746.41
2014-05-02,2746.58
2014-05-05,2748.04
2014-05-06,2728.74
2014-05-07,2753.29
2014-05-08,2743.59
2014-05-09,2740.45
2014-05-12,2771.47
2014-05-13,2765.92
2014-05-14,2748.75
2014-05-15,2724.49
2014-05-16,2733.21
2014-05-19,2742.73
2014-05-20,2722.16
2014-05-21,2735.16
2014-05-22,2742.97
2014-05-23,2757.96
2014-05-26,.
2014-05-27,2775.19
2014-05-28,2774.75
2014-05-29,2787.23
2014-05-30,2788.98
2014-06-02,2797.84
2014-06-03,2801.29
2014-06-04,2811.46
2014-06-05,2835.61
2014-06-06,2849.80
2014-06-09,2848.56
2014-06-10,2841.84
2014-06-11,2832.24
2014-06-12,2817.77
2014-06-13,2828.70
2014-06-16,2829.04
2014-06-17,2846.16
2014-06-18,2865.06
2014-06-19,2871.34
2014-06-20,2877.47
2014-06-23,2875.04
2014-06-24,2856.31
2014-06-25,2870.41
2014-06-26,2868.45
2014-06-27,2876.60
2014-06-30,2885.58
2014-07-01,2898.91
2014-07-02,2888.97
2014-07-03,2899.44
2014-07-04,.
2014-07-07,2882.04
2014-07-08,2868.30
2014-07-09,2876.20
2014-07-10,2866.79
2014-07-11,2865.59
2014-07-14,2872.14
2014-07-15,2870.23
2014-07-16,2879.13
2014-07-17,2846.00
2014-07-18,2874.49
2014-07-21,2866.28
2014-07-22,2878.67
2014-07-23,2878.48
2014-07-24,2883.69
2014-07-25,2869.69
2014-07-28,2874.25
2014-07-29,2856.96
2014-07-30,2851.01
2014-07-31,2801.48
2014-08-01,2796.00
2014-08-04,2809.36
2014-08-05,2788.93
2014-08-06,2787.31
2014-08-07,2774.53
2014-08-08,2807.23
2014-08-11,2815.22
2014-08-12,2810.08
2014-08-13,2830.27
2014-08-14,2844.38
2014-08-15,2843.17
2014-08-18,2868.08
2014-08-19,2881.55
2014-08-20,2890.62
2014-08-21,2898.00
2014-08-22,2890.60
2014-08-25,2900.90
2014-08-26,2903.36
2014-08-27,2907.65
2014-08-28,2906.41
2014-08-29,2920.32
2014-09-01,.
2014-09-02,2918.30
2014-09-03,2918.42
2014-09-04,2909.73
2014-09-05,2925.25
2014-09-08,2917.79
2014-09-09,2897.32
2014-09-10,2897.12
2014-09-11,2907.51
2014-09-12,2878.58
2014-09-15,2871.29
2014-09-16,2889.69
2014-09-17,2893.39
2014-09-18,2896.17
2014-09-19,2888.13
2014-09-22,2858.36
2014-09-23,2836.95
2014-09-24,2848.64
2014-09-25,2812.55
2014-09-26,2830.74
2014-09-29,2826.14
2014-09-30,2809.26
2014-10-01,2777.14
2014-10-02,2777.09
2014-10-03,2798.50
2014-10-06,2795.74
2014-10-07,2758.42
2014-10-08,2802.68
2014-10-09,2742.98
2014-10-10,2710.29
2014-10-13,2674.54
2014-10-14,2693.54
2014-10-15,2678.23
2014-10-16,2692.30
2014-10-17,2718.58
2014-10-20,2748.71
2014-10-21,2803.94
2014-10-22,2784.34
2014-10-23,2816.53
2014-10-24,2831.12
2014-10-27,2827.08
2014-10-28,2863.00
2014-10-29,2854.82
2014-10-30,2870.33
2014-10-31,2905.49
2014-11-03,2909.09
2014-11-04,2896.13
2014-11-05,2915.57
2014-11-06,2918.37
2014-11-07,2923.04
2014-11-10,2930.08
2014-11-11,2930.44
2014-11-12,2927.59
2014-11-13,2920.77
2014-11-14,2919.23
2014-11-17,2925.11
2014-11-18,2942.14
2014-11-19,2931.60
2014-11-20,2944.49
2014-11-21,2961.34
2014-11-24,2970.61
2014-11-25,2968.89
2014-11-26,2971.57
2014-11-27,.
2014-11-28,2957.27
2014-12-01,2930.48
2014-12-02,2945.78
2014-12-03,2965.79
2014-12-04,2961.23
2014-12-05,2966.39
2014-12-08,2951.16
2014-12-09,2959.50
2014-12-10,2909.34
2014-12-11,2921.46
2014-12-12,2877.45
2014-12-15,2857.90
2014-12-16,2842.45
2014-12-17,2905.78
2014-12-18,2959.36
2014-12-19,2973.68
2014-12-22,2986.75
2014-12-23,2999.03
2014-12-24,3001.37
2014-12-25,.
2014-12-26,3010.72
2014-12-29,3024.43
2014-12-30,3012.35
2014-12-31,2979.34
2015-01-01,.
2015-01-02,2982.74
2015-01-05,2933.14
2015-01-06,2909.53
2015-01-07,2944.55
2015-01-08,2991.13
2015-01-09,2967.82
2015-01-12,2949.36
2015-01-13,2941.84
2015-01-14,2933.50
2015-01-15,2911.86
2015-01-16,2949.22
2015-01-19,.
2015-01-20,2938.56
2015-01-21,2957.24
2015-01-22,3001.17
2015-01-23,2985.23
2015-01-26,3009.54
2015-01-27,2992.32
2015-01-28,2954.62
2015-01-29,2975.51
2015-01-30,2936.83
2015-02-02,2966.16
2015-02-03,3013.65
2015-02-04,2999.82
2015-02-05,3038.56
2015-02-06,3013.77
2015-02-09,3000.62
2015-02-10,3028.34
2015-02-11,3021.52
2015-02-12,3051.33
2015-02-13,3054.25
2015-02-16,.
2015-02-17,3056.94
2015-02-18,3068.80
2015-02-19,3058.67
2015-02-20,3077.34
2015-02-23,3078.66
2015-02-24,3080.06
2015-02-25,3073.74
2015-02-26,3060.86
2015-02-27,3057.11
2015-03-02,3067.71
2015-03-03,3056.23
2015-03-04,3041.57
2015-03-05,3049.75
2015-03-06,3003.10
2015-03-09,3012.73
2015-03-10,2972.91
2015-03-11,2979.10
2015-03-12,3019.42
2015-03-13,3002.34
2015-03-16,3036.52
2015-03-17,3033.80
2015-03-18,3076.92
2015-03-19,3059.69
2015-03-20,3095.82
2015-03-23,3090.60
2015-03-24,3070.75
2015-03-25,3025.60
2015-03-26,3014.60
2015-03-27,3026.89
2015-03-30,3067.04
2015-03-31,3051.50
2015-04-01,3043.65
2015-04-02,3058.81
2015-04-03,.
2015-04-06,3080.54
2015-04-07,3060.74
2015-04-08,3072.08
2015-04-09,3067.49
2015-04-10,3076.23
2015-04-13,3063.75
2015-04-14,3069.46
2015-04-15,3082.92
2015-04-16,3074.35
2015-04-17,3045.58
2015-04-20,3062.22
2015-04-21,3056.69
2015-04-22,3068.07
2015-04-23,3075.23
2015-04-24,3074.78
2015-04-27,3054.53
2015-04-28,3064.73
2015-04-29,3046.50
2015-04-30,3016.78
2015-05-01,3042.97
2015-05-04,3057.25
2015-05-05,3014.21
2015-05-06,3006.75
2015-05-07,3021.65
2015-05-08,3053.68
2015-05-11,3044.68
2015-05-12,3038.54
2015-05-13,3038.33
2015-05-14,3067.40
2015-05-15,3073.54
2015-05-18,3090.24
2015-05-19,3088.46
2015-05-20,3088.88
2015-05-21,3089.28
2015-05-22,3086.88
2015-05-25,.
2015-05-26,3055.66
2015-05-27,3084.67
2015-05-28,3082.18
2015-05-29,3070.26
2015-06-01,3074.67
2015-06-02,3071.25
2015-06-03,3071.71
2015-06-04,3046.77
2015-06-05,3046.44
2015-06-08,3027.60
2015-06-09,3023.78
2015-06-10,3056.85
2015-06-11,3068.93
2015-06-12,3051.06
2015-06-15,3037.79
2015-06-16,3052.66
2015-06-17,3058.51
2015-06-18,3082.98
2015-06-19,3071.60
2015-06-22,3080.52
2015-06-23,3078.18
2015-06-24,3054.51
2015-06-25,3045.04
2015-06-26,3050.86
2015-06-29,2988.81
2015-06-30,2991.53
2015-07-01,3006.75
2015-07-02,3009.91
2015-07-03,.
2015-07-06,2993.17
2015-07-07,3017.68
2015-07-08,2968.55
2015-07-09,2971.04
2015-07-10,2995.06
2015-07-13,3018.08
2015-07-14,3030.31
2015-07-15,3014.02
2015-07-16,3029.35
2015-07-17,3005.34
2015-07-20,2992.25
