Date,Close,,x,Y,,X,Y
2018+AC0-04+AC0-02,155.389999,,0,160.1437270675,,0,189.5355026317
2018+AC0-04+AC0-03,156.110001,,1,161.0609989327,,1,189.3505829132
2018+AC0-04+AC0-04,155.100006,,2,161.9644067529,,2,189.1656631947
2018+AC0-04+AC0-05,159.339996,,3,162.8539505281,,3,188.9807434762
2018+AC0-04+AC0-06,157.199997,,4,163.7296302583,,4,188.7958237577
2018+AC0-04+AC0-09,157.929993,,5,164.5914459435,,5,188.6109040392
2018+AC0-04+AC0-10,165.039993,,6,165.4393975837,,6,188.4259843207
2018+AC0-04+AC0-11,166.320007,,7,166.2734851789,,7,188.2410646022
2018+AC0-04+AC0-12,163.869995,,8,167.0937087291,,8,188.0561448837
2018+AC0-04+AC0-13,164.520004,,9,167.9000682343,,9,187.8712251652
2018+AC0-04+AC0-16,164.830002,,10,168.6925636945,,10,187.6863054467
2018+AC0-04+AC0-17,168.660004,,11,169.4711951097,,11,187.5013857282
2018+AC0-04+AC0-18,166.360001,,12,170.2359624799,,12,187.3164660097
2018+AC0-04+AC0-19,168.100006,,13,170.9868658051,,13,187.1315462912
2018+AC0-04+AC0-20,166.279999,,14,171.7239050853,,14,186.9466265727
2018+AC0-04+AC0-23,165.839996,,15,172.4470803205,,15,186.7617068542
2018+AC0-04+AC0-24,159.690002,,16,173.1563915107,,16,186.5767871357
2018+AC0-04+AC0-25,159.690002,,17,173.8518386559,,17,186.3918674172
2018+AC0-04+AC0-26,174.160004,,18,174.5334217561,,18,186.2069476987
2018+AC0-04+AC0-27,173.589996,,19,175.2011408113,,19,186.0220279802
2018+AC0-04+AC0-30,172,,20,175.8549958215,,20,185.8371082617
2018+AC0-05+AC0-01,173.860001,,21,176.4949867867,,21,185.6521885432
2018+AC0-05+AC0-02,176.070007,,22,177.1211137069,,22,185.4672688247
2018+AC0-05+AC0-03,174.020004,,23,177.7333765821,,23,185.2823491062
2018+AC0-05+AC0-04,176.610001,,24,178.3317754123,,24,185.0974293877
2018+AC0-05+AC0-07,177.970001,,25,178.9163101975,,25,184.9125096692
2018+AC0-05+AC0-08,178.919998,,26,179.4869809377,,26,184.7275899507
2018+AC0-05+AC0-09,182.660004,,27,180.0437876329,,27,184.5426702322
2018+AC0-05+AC0-10,185.529999,,28,180.5867302831,,28,184.3577505137
2018+AC0-05+AC0-11,186.990005,,29,181.1158088883,,29,184.1728307952
2018+AC0-05+AC0-14,186.639999,,30,181.6310234485,,30,183.9879110767
2018+AC0-05+AC0-15,184.320007,,31,182.1323739637,,31,183.8029913582
2018+AC0-05+AC0-16,183.199997,,32,182.6198604339,,32,183.6180716397
2018+AC0-05+AC0-17,183.759995,,33,183.0934828591,,33,183.4331519212
2018+AC0-05+AC0-18,182.679993,,34,183.5532412393,,34,183.2482322027
2018+AC0-05+AC0-21,184.490005,,35,183.9991355745,,35,183.0633124842
2018+AC0-05+AC0-22,183.800003,,36,184.4311658647,,36,182.8783927657
2018+AC0-05+AC0-23,186.899994,,37,184.8493321099,,37,182.6934730472
2018+AC0-05+AC0-24,185.929993,,38,185.2536343101,,38,182.5085533287
2018+AC0-05+AC0-25,184.919998,,39,185.6440724653,,39,182.3236336102
2018+AC0-05+AC0-29,185.740005,,40,186.0206465755,,40,182.1387138917
2018+AC0-05+AC0-30,187.669998,,41,186.3833566407,,41,181.9537941732
2018+AC0-05+AC0-31,191.779999,,42,186.7322026609,,42,181.7688744547
2018+AC0-06+AC0-01,193.990005,,43,187.0671846361,,43,181.5839547362
2018+AC0-06+AC0-04,193.279999,,44,187.3883025663,,44,181.3990350177
2018+AC0-06+AC0-05,192.940002,,45,187.6955564515,,45,181.2141152992
2018+AC0-06+AC0-06,191.339996,,46,187.9889462917,,46,181.0291955807
2018+AC0-06+AC0-07,188.179993,,47,188.2684720869,,47,180.8442758622
2018+AC0-06+AC0-08,189.100006,,48,188.5341338371,,48,180.6593561437
2018+AC0-06+AC0-11,191.539993,,49,188.7859315423,,49,180.4744364252
2018+AC0-06+AC0-12,192.399994,,50,189.0238652025,,50,180.2895167067
2018+AC0-06+AC0-13,192.410004,,51,189.2479348177,,51,180.1045969882
2018+AC0-06+AC0-14,196.809998,,52,189.4581403879,,52,179.9196772697
2018+AC0-06+AC0-15,195.850006,,53,189.6544819131,,53,179.7347575512
